family	p2	p4	source_code	name_he	source	kcal	carb_g	carb_share	fiber_g	moisture	dry?	raw?	fiber?	outlier?	eligible	has_serving	band	rank
26	51	5118	9642	פירורי לחם ללא גלוטן, NATURAL BAKERY	industry	402.4	86.0	0.855	6.0	22.8	0	0	0	0	0	1	1	1
26	51	5114	1962	חלה, קלויה	industry	294.1	62.7	0.853	2.5	24.1	0	0	0	0	0	1	1	2
26	51	5114	1955	פיתה, דוידוביץ	industry	245.8	50.2	0.817	1.9	36.6	0	0	0	0	0	1	1	3
26	51	5110	1932	לחם בגט, בונז'ור	industry	275.0	56.0	0.815	3.0	30.0	0	0	0	0	0	1	1	4
26	51	5140	8457	לחם פומפרניקל, פילסברי	industry	259.3	52.5	0.810		35.3	0	0	1	0	0	1	1	5
26	51	5122	8448	לחמניה, קמח מלא, פילסברי	industry	237.3	47.8	0.806		40.3	0	0	1	0	0	0	1	6
26	51	5110	1919	לחם לבן, ברמן, אנג'ל, דוידוביץ, אילת	industry	266.1	53.6	0.806	1.6	21.7	0	0	0	0	0	1	1	7
26	51	5114	8886	פיתה, ג'פיתה, אנג'ל	industry	224.8	45.0	0.801	1.9	42.1	0	0	0	0	0	1	1	8
26	51	5118	1982	בייגל, קלוי	industry	250.2	49.5	0.791	2.5	35.7	0	0	0	0	0	1	1	9
26	51	5120	2000	לחם מחיטה מלאה, קלוי	industry	257.4	50.9	0.791	7.4	31.7	0	0	0	0	0	1	1	10
26	51	5130	8450	לחם כפרי שרויט, פילסברי	industry	256.0	50.6	0.791		36.5	0	0	1	0	0	0	1	11
26	51	5130	8447	לחמניה אצבע כפרית, פילסברי	industry	271.7	53.7	0.791		33.2	0	0	1	0	0	0	1	12
26	51	5118	1980	בייגל, אנג'ל	industry	227.7	45.0	0.791	2.3	41.3	0	0	0	0	0	1	1	13
26	51	5116	1974	לחמניה מתוקה /קלועה	industry	299.5	59.0	0.788	0.2	26.9	0	0	0	0	0	1	1	14
26	51	5110	1923	לחם ג'בטה או פוקצ'ה, אנג'ל, דוידוביץ	industry	244.4	48.0	0.786	0.3	39.0	0	0	0	0	0	1	1	15
27	52	5242	8454	לחם בזיליקום עגבניות/בצל, פילסברי	industry	264.8	53.3	0.805		34.3	0	0	1	0	0	0	1	1
27	52	5240	2062	לחם אחיד, כהה, פרוס	industry	245.1	47.0	0.767	4.0	32.9	0	0	0	0	0	1	1	2
27	52	5240	9595	לחם אחיד, מועשר בויטמינים, ודש	industry	273.7	51.9	0.758	3.9	30.5	0	0	0	0	0	1	1	3
28	54	5431	2558	פריכיות אורז מלא עם תירס/כוסמת	industry	340.7	75.0	0.881	0.4	11.2	0	0	0	0	0	1	1	1
28	54	5432	2568	קרקר אורז אוריגינלי, WANT WANT	industry	397.4	85.5	0.861	0.7	2.0	0	0	0	0	0	1	1	2
28	54	5431	2565	פריכונים מאורז מלא קלוי בטעם דבש, אסם	industry	372.8	80.0	0.858	3.3	3.8	0	0	0	0	0	1	1	3
28	54	5431	9821	פריכיות חיטה, קריספיות/קליליות	industry	392.8	84.0	0.855	3.4	9.8	0	0	0	0	0	1	1	4
28	54	5430	2534	מצה, פת מצה, דננברג, מצות ראשון, מצות יהודה, כרמל	industry	361.8	76.9	0.850	3.7	6.2	0	0	0	0	0	1	1	5
28	54	5431	8468	פריכיות אורז מלא עם קינואה, B&D	industry	368.4	78.0	0.847	4.2	8.1	0	0	0	0	0	1	1	6
29	56	5611	8818	אטריות אורז, מבושלות	ingredient	107.0	24.0	0.897	1.0	73.8	0	0	0	0	0	1	1	1
29	56	5620	2721	אורז לבן, מבושל, ללא תוספת שומן בבישול	ingredient	125.5	27.8	0.886	0.4	66.8	0	0	0	0	1	1	1	2
29	56	5620	8554	אורז לבן, מבושל, עם מלח, ללא תוספת שומן בבישול	ingredient	124.3	27.5	0.885	0.4	67.8	0	0	0	0	0	1	1	3
29	56	5611	9643	פתיתים אפוים, מבושלים, ללא גלוטן	industry	82.9	18.3	0.883	0.8	74.5	0	0	0	0	0	1	1	4
29	56	5620	8825	אורז לבן, להכנה מהירה (parboiled), מבושל, ללא תוספת מלח	ingredient	121.0	26.0	0.860	0.9	70.4	0	0	0	0	0	1	1	5
29	56	5620	2722	אורז לבן,להכנה מהירה (parboiled),מבושל,עם מלח,ללא שומן	ingredient	116.6	24.9	0.854	0.9	69.8	0	0	0	0	0	1	1	6
29	56	5611	8966	אטריות/פסטה, עם רוטב עגבניות, מוכן מתערובת, קנור	industry	113.9	23.0	0.808	1.0		0	0	0	0	0	1	1	7
29	56	5613	8552	אטריות/פסטה, חיטה, מבושלות, עם מלח, ללא תוספת שמן בבישול	ingredient	150.5	28.9	0.768	1.8	61.8	0	0	0	0	0	1	1	8
29	56	5611	8969	אטריות/פסטה, ברוטב עגבניות, מנה חמה, מוכן מתערובת, אסם	industry	89.0	16.9	0.760		77.5	0	0	1	0	0	1	1	9
29	56	5623	2807	אורז, תבשיל להכנה מהירה, טעמים שונים, מוכן מתערובת, אסם	industry	121.2	22.2	0.733		70.7	0	0	1	0	0	1	1	10
29	56	5613	8553	ספגטי, מחיטה מלאה, מבושלות, ללא תוספת שומן בבישול	ingredient	122.3	21.9	0.716	4.5	66.8	0	0	0	0	0	0	1	11
29	56	5623	2794	אורז עם תירס, אפונה ובצל ללא תוספת שומן בבישול	recipe	126.0	26.8	0.851	1.4	66.3	0	0	0	0	0	1	1	12
29	56	5623	2816	דייסת אורז מתוקה עם חלב	recipe	121.2	24.2	0.799	0.3	69.4	0	0	0	0	0	1	1	13
